Compound,SampID,Area,blk.threshold,min.area.flag,blk.ratio.flag,slope,nM_in_vial
OH-B12,241121_Poo_UCYNA-culture_Full3,1097706,16386,NA,NA,1282177.6128185908,0.8561263190260593
OH-B12,241121_Smp_UCYNA_Z-2,273,16386,Flag,Flag,1282177.6128185908,2.1291901938598693e-4
OH-B12,241121_Smp_UCYNA_Z-4,6169,16386,Flag,Flag,1282177.6128185908,0.004811345899604958
OH-B12,241121_Smp_UCYNA_Z-7,24475,16386,Flag,NA,1282177.6128185908,0.019088619045685092
OH-B12,241121_Smp_UCYNA_Z-12,1421,16386,Flag,Flag,1282177.6128185908,0.0011082707932142397
OH-B12,241121_Smp_UCYNA_Z-13,58,16386,Flag,Flag,1282177.6128185908,4.523554258017305e-5
OH-B12,241121_Smp_UCYNA_Z-17,376,16386,Flag,Flag,1282177.6128185908,2.932511036231908e-4
OH-B12,241121_Smp_UCYNA_Z-19,1556096,16386,NA,NA,1282177.6128185908,1.2136352908075339
OH-B12,241121_Smp_UCYNA_Z-20,1478563,16386,NA,NA,1282177.6128185908,1.1531655093787656
OH-B12,241121_Smp_UCYNA_Z-21,272,16386,Flag,Flag,1282177.6128185908,2.1213909623805292e-4
OH-B12,241121_Smp_UCYNA_Z-22,1934374,16386,NA,NA,1282177.6128185908,1.5086630593617183
OH-B12,241121_Smp_UCYNA_Z-23,1911265,16386,NA,NA,1282177.6128185908,1.4906398153361111
OH-B12,241121_Smp_UCYNA_Z-24,1731486,16386,NA,NA,1282177.6128185908,1.3504260117236813
OH-B12,241121_Smp_UCYNA_Z-25,4248,16386,Flag,Flag,1282177.6128185908,0.0033131135324237088
OH-B12,241121_Smp_UCYNA_Z-26,13671,16386,Flag,Flag,1282177.6128185908,0.010662329355405962
OH-B12,241121_Smp_UCYNA_Z-27,1470,16386,Flag,Flag,1282177.6128185908,0.0011464870274630065
OH-B12,241121_Smp_UCYNA_Z-28,519,16386,Flag,Flag,1282177.6128185908,4.047801137777554e-4
OH-B12,241121_Smp_UCYNA_Z-29,1591,16386,Flag,Flag,1282177.6128185908,0.0012408577283630228
OH-B12,241121_Smp_UCYNA_Z-30,1005317,16386,NA,NA,1282177.6128185908,0.7840699993115833
OH-B12,241121_Smp_UCYNA_Z-31,1331448,16386,NA,NA,1282177.6128185908,1.0384271154704525
OH-B12,241121_Smp_UCYNA_Z-32,1116224,16386,NA,NA,1282177.6128185908,0.8705689358795015
OH-B12,241121_Smp_UCYNA_Z-33,10685,16386,Flag,Flag,1282177.6128185908,0.008333478835674984
OH-B12,241121_Smp_UCYNA_Z-34,1499341,16386,NA,NA,1282177.6128185908,1.1693707525465387
OH-B12,241121_Smp_UCYNA_Z-35,1339042,16386,NA,NA,1282177.6128185908,1.0443498518558634
OH-B12,241121_Smp_UCYNA_Z-36,1378531,16386,NA,NA,1282177.6128185908,1.07514823704463
OH-B12,241121_Smp_UCYNA_Z-37,49956,16386,NA,NA,1282177.6128185908,0.03896184077819181
OH-B12,241121_Smp_UCYNA_Z-38,28154,16386,Flag,NA,1282177.6128185908,0.021957956306934347
OH-B12,241121_Smp_UCYNA_Z-39,9195,16386,Flag,Flag,1282177.6128185908,0.007171393345253296
OH-B12,241121_Smp_UCYNA_Z-40,24036,16386,Flag,NA,1282177.6128185908,0.01874623278374206
OH-B12,241121_Smp_UCYNA_Z-41,30188,16386,Flag,NA,1282177.6128185908,0.023544319989832137
OH-B12,241121_Smp_UCYNA_Z-42,13642,16386,Flag,Flag,1282177.6128185908,0.010639711584115875
CN-B12,241121_Std_0nM_UCYNA_B12_1,7241,11338,Flag,Flag,1565371.0074962522,0.00462574045726175
CN-B12,241121_Std_0nM_UCYNA_B12_2,7719,11338,Flag,Flag,1565371.0074962522,0.004931099377103086
CN-B12,241121_Std_1nM_UCYNA_B12_1,1191595,11338,NA,NA,1565371.0074962522,0.7612220964191154
CN-B12,241121_Std_1nM_UCYNA_B12_2,1413615,11338,NA,NA,1565371.0074962522,0.9030542875973027
CN-B12,241121_Std_5nM_UCYNA_B12_1,6103125,11338,NA,NA,1565371.0074962522,3.8988361038842174
CN-B12,241121_Std_5nM_UCYNA_B12_2,7445579,11338,NA,NA,1565371.0074962522,4.756430880822881
CN-B12,241121_Std_10nM_UCYNA_B12_1,10298461,11338,NA,NA,1565371.0074962522,6.578926625498177
CN-B12,241121_Std_10nM_UCYNA_B12_2,16066892,11338,NA,NA,1565371.0074962522,10.263951435831398
CN-B12,241121_Std_20nM_UCYNA_B12_1,29048404,11338,NA,NA,1565371.0074962522,18.556881314968106
CN-B12,241121_Std_20nM_UCYNA_B12_2,34039576,11338,NA,NA,1565371.0074962522,21.745372718027358
CN-B12,241121_Std_50nM_RP-Mix234_InH2O,7991,11338,Flag,Flag,1565371.0074962522,0.005104860101364265
CN-B12,241121_Poo_UCYNA-culture_Full1,30576,11338,Flag,NA,1565371.0074962522,0.019532749650771338
CN-B12,241121_Poo_UCYNA-culture_Full2,40386,11338,NA,NA,1565371.0074962522,0.02579963459563224
CN-B12,241121_Poo_UCYNA-culture_Full3,41140,11338,NA,NA,1565371.0074962522,0.0262813095445033
CN-B12,241121_Smp_UCYNA_Z-2,338,11338,Flag,Flag,1565371.0074962522,2.1592325294220017e-4
CN-B12,241121_Smp_UCYNA_Z-4,11404,11338,Flag,NA,1565371.0074962522,0.007285173895126778
CN-B12,241121_Smp_UCYNA_Z-7,10402,11338,Flag,Flag,1565371.0074962522,0.006645070050605818
CN-B12,241121_Smp_UCYNA_Z-12,468,11338,Flag,Flag,1565371.0074962522,2.989706579199695e-4
CN-B12,241121_Smp_UCYNA_Z-13,45,11338,Flag,Flag,1565371.0074962522,2.8747178646150913e-5
CN-B12,241121_Smp_UCYNA_Z-17,19,11338,Flag,Flag,1565371.0074962522,1.2137697650597051e-5
