Compound,SampID,ID,type,replicate,Condition_B12,Condition_TOD,Condition_Culture,Cells_on_Filter,Cell_Volume_um3,Smp_Biovolume_um3,Smp_Biovolume_L,PeakArea,nM_in_vial,nmoles_in_vial,nmole_per_cell,nmole_per_biovolume_L,min.area.flag,blk.ratio.flag
Ado-B12,241121_Smp_UCYNA_Z-27,Z-27,UCYN-A,C,plus_B12,Day,UCYN-A,9063000,15,135945000,1.35945e-7,568,7.369609853134293e-4,2.9478439412537173e-7,3.2526138599290715e-14,2.168409239952714,Flag,Flag
Ado-B12,241121_Smp_UCYNA_Z-28,Z-28,UCYN-A,A,plus_B12,Night,UCYN-A,15513500,15,232702500,2.327025e-7,12,1.5569598281269632e-5,6.227839312507853e-9,4.014464377805043e-16,0.026763095852033618,Flag,Flag
Ado-B12,241121_Smp_UCYNA_Z-29,Z-29,UCYN-A,B,plus_B12,Night,UCYN-A,14706000,15,220590000,2.2059e-7,280,3.632906265629581e-4,1.4531625062518325e-7,9.881425991104532e-15,0.6587617327403021,Flag,Flag
Ado-B12,241121_Smp_UCYNA_Z-30,Z-30,UCYN-A,C,plus_B12,Night,UCYN-A,16444500,15,246667500,2.466675e-7,595237,0.772300081012341,3.0892003240493644e-4,1.878561418133336e-11,1252.3742787555573,NA,NA
Ado-B12,241121_Smp_UCYNA_Z-31,Z-31,culture,A,minus_B12,Day,Culture,855000,175,149625000,1.49625e-7,617405,0.8010623189039399,3.204249275615759e-4,3.7476599714804204e-10,2141.5199837030973,NA,NA
Ado-B12,241121_Smp_UCYNA_Z-32,Z-32,culture,B,minus_B12,Day,Culture,945000,175,165375000,1.65375e-7,661143,0.8578109097061207,3.431243638824483e-4,3.6309456495497175e-10,2074.826085456981,NA,NA
Ado-B12,241121_Smp_UCYNA_Z-33,Z-33,culture,C,minus_B12,Day,Culture,960000,175,168000000,1.68e-7,3815,0.0049498347869203,1.97993391476812e-6,2.0624311612167916e-12,11.785320921238808,Flag,NA
Ado-B12,241121_Smp_UCYNA_Z-34,Z-34,culture,A,minus_B12,Night,Culture,690000,175,120750000,1.2075e-7,1278095,1.6582854762749426,6.633141905099771e-4,9.613249137825754e-10,5493.285221614718,NA,NA
Ado-B12,241121_Smp_UCYNA_Z-35,Z-35,culture,B,minus_B12,Night,Culture,780000,175,136500000,1.365e-7,898765,1.1661174999387751,4.6644699997551003e-4,5.98008974327577e-10,3417.1941390147254,NA,NA
Ado-B12,241121_Smp_UCYNA_Z-36,Z-36,culture,C,minus_B12,Night,Culture,855000,175,149625000,1.49625e-7,1079326,1.400389352877469,5.601557411509875e-4,6.55152913626886e-10,3743.730935010777,NA,NA
Ado-B12,241121_Smp_UCYNA_Z-37,Z-37,UCYN-A,A,minus_B12,Day,UCYN-A,8863500,15,132952500,1.329525e-7,1918,0.00248854079195626,9.95416316782504e-7,1.123051071001866e-13,7.487007140012441,Flag,NA
Ado-B12,241121_Smp_UCYNA_Z-38,Z-38,UCYN-A,B,minus_B12,Day,UCYN-A,12958000,15,194370000,1.9437e-7,1111,0.00144148530754088,5.765941230163521e-7,4.4497154114551017e-14,2.9664769409700673,Flag,NA
Ado-B12,241121_Smp_UCYNA_Z-39,Z-39,UCYN-A,C,minus_B12,Day,UCYN-A,9395500,15,140932500,1.409325e-7,884,0.00114696040672019,4.58784162688076e-7,4.8830201978402e-14,3.2553467985601334,Flag,Flag
Ado-B12,241121_Smp_UCYNA_Z-40,Z-40,UCYN-A,A,minus_B12,Night,UCYN-A,12407000,15,186105000,1.86105e-7,574,7.447457844540641e-4,2.978983137816256e-7,2.401050324668539e-14,1.6007002164456925,Flag,Flag
Ado-B12,241121_Smp_UCYNA_Z-41,Z-41,UCYN-A,B,minus_B12,Night,UCYN-A,9690000,15,145350000,1.4535e-7,434,5.631004711725851e-4,2.2524018846903403e-7,2.3244601493192366e-14,1.549640099546158,Flag,Flag
Ado-B12,241121_Smp_UCYNA_Z-42,Z-42,UCYN-A,C,minus_B12,Night,UCYN-A,8654500,15,129817500,1.298175e-7,258,3.347463630472971e-4,1.3389854521891883e-7,1.547155181915984e-14,1.0314367879439894,Flag,Flag
OH-B12,241121_Smp_UCYNA_Z-2,Z-2,filter blank,B,NA,NA,NA,NA,NA,NA,NA,273,2.1291901938598693e-4,8.516760775439477e-8,NA,NA,Flag,Flag
OH-B12,241121_Smp_UCYNA_Z-4,Z-4,filter blank,A,plus_B12,Day,NA,NA,NA,NA,NA,6169,0.00481134589960495,1.9245383598419803e-6,NA,NA,Flag,Flag
OH-B12,241121_Smp_UCYNA_Z-7,Z-7,filter blank,A,plus_B12,Night,NA,NA,NA,NA,NA,24475,0.01908861904568509,7.635447618274036e-6,NA,NA,Flag,NA
OH-B12,241121_Smp_UCYNA_Z-12,Z-12,filter blank,C,minus_B12,Day,NA,NA,NA,NA,NA,1421,0.00110827079321423,4.43308317285692e-7,NA,NA,Flag,Flag
OH-B12,241121_Smp_UCYNA_Z-13,Z-13,filter blank,A,minus_B12,Night,NA,NA,NA,NA,NA,58,4.523554258017305e-5,1.809421703206922e-8,NA,NA,Flag,Flag
OH-B12,241121_Smp_UCYNA_Z-17,Z-17,filter blank,B,NA,NA,NA,NA,NA,NA,NA,376,2.932511036231908e-4,1.1730044144927633e-7,NA,NA,Flag,Flag
OH-B12,241121_Smp_UCYNA_Z-19,Z-19,culture,A,plus_B12,Day,Culture,3660000,175,640500000,6.405e-7,1556096,1.213635290807534,4.8545411632301363e-4,1.3263773670027695e-10,757.9299240015825,NA,NA
OH-B12,241121_Smp_UCYNA_Z-20,Z-20,culture,B,plus_B12,Day,Culture,3620000,175,633500000,6.335e-7,1478563,1.1531655093787656,4.612662037515062e-4,1.2742160324627244e-10,728.1234471215569,NA,NA
OH-B12,241121_Smp_UCYNA_Z-21,Z-21,culture,C,plus_B12,Day,Culture,4040000,175,707000000,7.07e-7,272,2.1213909623805292e-4,8.485563849522116e-8,2.1003870914658704e-14,0.12002211951233545,Flag,Flag
OH-B12,241121_Smp_UCYNA_Z-22,Z-22,culture,A,plus_B12,Night,Culture,2840000,175,497000000,4.97e-7,1934374,1.5086630593617183,6.034652237446874e-4,2.1248775483967866e-10,1214.215741941021,NA,NA
OH-B12,241121_Smp_UCYNA_Z-23,Z-23,culture,B,plus_B12,Night,Culture,2740000,175,479500000,4.795e-7,1911265,1.4906398153361111,5.962559261344444e-4,2.1761165187388482e-10,1243.495153565056,NA,NA
OH-B12,241121_Smp_UCYNA_Z-24,Z-24,culture,C,plus_B12,Night,Culture,3120000,175,546000000,5.46e-7,1731486,1.3504260117236813,5.401704046894726e-4,1.7313153996457453e-10,989.3230855118544,NA,NA
OH-B12,241121_Smp_UCYNA_Z-25,Z-25,UCYN-A,A,plus_B12,Day,UCYN-A,8474000,15,127110000,1.2711e-7,4248,0.0033131135324237,1.32524541296948e-6,1.5638959322273779e-13,10.425972881515852,Flag,Flag
OH-B12,241121_Smp_UCYNA_Z-26,Z-26,UCYN-A,B,plus_B12,Day,UCYN-A,17385000,15,260775000,2.60775e-7,13671,0.01066232935540596,4.264931742162384e-6,2.453225045822481e-13,16.35483363881654,Flag,Flag
OH-B12,241121_Smp_UCYNA_Z-27,Z-27,UCYN-A,C,plus_B12,Day,UCYN-A,9063000,15,135945000,1.35945e-7,1470,0.001146487027463,4.585948109852e-7,5.0600773583272646e-14,3.3733849055515104,Flag,Flag
OH-B12,241121_Smp_UCYNA_Z-28,Z-28,UCYN-A,A,plus_B12,Night,UCYN-A,15513500,15,232702500,2.327025e-7,519,4.047801137777554e-4,1.6191204551110215e-7,1.043684826190751e-14,0.6957898841271672,Flag,Flag
OH-B12,241121_Smp_UCYNA_Z-29,Z-29,UCYN-A,B,plus_B12,Night,UCYN-A,14706000,15,220590000,2.2059e-7,1591,0.00124085772836302,4.96343091345208e-7,3.375106020299252e-14,2.2500706801995016,Flag,Flag
OH-B12,241121_Smp_UCYNA_Z-30,Z-30,UCYN-A,C,plus_B12,Night,UCYN-A,16444500,15,246667500,2.466675e-7,1005317,0.7840699993115833,3.136279997246333e-4,1.9071908524104306e-11,1271.4605682736205,NA,NA
OH-B12,241121_Smp_UCYNA_Z-31,Z-31,culture,A,minus_B12,Day,Culture,855000,175,149625000,1.49625e-7,1331448,1.0384271154704523,4.153708461881809e-4,4.858138551908549e-10,2776.0791725191707,NA,NA
OH-B12,241121_Smp_UCYNA_Z-32,Z-32,culture,B,minus_B12,Day,Culture,945000,175,165375000,1.65375e-7,1116224,0.8705689358795015,3.4822757435180055e-4,3.6849478767386304e-10,2105.6845009935028,NA,NA
OH-B12,241121_Smp_UCYNA_Z-33,Z-33,culture,C,minus_B12,Day,Culture,960000,175,168000000,1.68e-7,10685,0.00833347883567498,3.3333915342699923e-6,3.4722828481979085e-12,19.841616275416623,Flag,Flag
OH-B12,241121_Smp_UCYNA_Z-34,Z-34,culture,A,minus_B12,Night,Culture,690000,175,120750000,1.2075e-7,1499341,1.1693707525465389,4.6774830101861556e-4,6.778960884327762e-10,3873.6919339015785,NA,NA
OH-B12,241121_Smp_UCYNA_Z-35,Z-35,culture,B,minus_B12,Night,Culture,780000,175,136500000,1.365e-7,1339042,1.0443498518558634,4.177399407423454e-4,5.355640265927505e-10,3060.365866244288,NA,NA
OH-B12,241121_Smp_UCYNA_Z-36,Z-36,culture,C,minus_B12,Night,Culture,855000,175,149625000,1.49625e-7,1378531,1.07514823704463,4.30059294817852e-4,5.029933272723415e-10,2874.24758441338,NA,NA
OH-B12,241121_Smp_UCYNA_Z-37,Z-37,UCYN-A,A,minus_B12,Day,UCYN-A,8863500,15,132952500,1.329525e-7,49956,0.03896184077819181,1.5584736311276722e-5,1.7583049936567634e-12,117.22033291045089,NA,NA
OH-B12,241121_Smp_UCYNA_Z-38,Z-38,UCYN-A,B,minus_B12,Day,UCYN-A,12958000,15,194370000,1.9437e-7,28154,0.02195795630693434,8.783182522773736e-6,6.778193025755314e-13,45.18795350503542,Flag,NA
OH-B12,241121_Smp_UCYNA_Z-39,Z-39,UCYN-A,C,minus_B12,Day,UCYN-A,9395500,15,140932500,1.409325e-7,9195,0.00717139334525329,2.868557338101316e-6,3.0531183418671876e-13,20.354122279114584,Flag,Flag
OH-B12,241121_Smp_UCYNA_Z-40,Z-40,UCYN-A,A,minus_B12,Night,UCYN-A,12407000,15,186105000,1.86105e-7,24036,0.01874623278374206,7.498493113496823e-6,6.043760065686163e-13,40.29173377124109,Flag,NA
OH-B12,241121_Smp_UCYNA_Z-41,Z-41,UCYN-A,B,minus_B12,Night,UCYN-A,9690000,15,145350000,1.4535e-7,30188,0.02354431998983213,9.417727995932852e-6,9.719017539662387e-13,64.79345026441591,Flag,NA
OH-B12,241121_Smp_UCYNA_Z-42,Z-42,UCYN-A,C,minus_B12,Night,UCYN-A,8654500,15,129817500,1.298175e-7,13642,0.01063971158411587,4.255884633646348e-6,4.917539584778264e-13,32.78359723185509,Flag,Flag
CN-B12,241121_Smp_UCYNA_Z-2,Z-2,filter blank,B,NA,NA,NA,NA,NA,NA,NA,338,2.1592325294220017e-4,8.636930117688006e-8,NA,NA,Flag,Flag
CN-B12,241121_Smp_UCYNA_Z-4,Z-4,filter blank,A,plus_B12,Day,NA,NA,NA,NA,NA,11404,0.00728517389512677,2.914069558050708e-6,NA,NA,Flag,NA
CN-B12,241121_Smp_UCYNA_Z-7,Z-7,filter blank,A,plus_B12,Night,NA,NA,NA,NA,NA,10402,0.00664507005060581,2.658028020242324e-6,NA,NA,Flag,Flag
CN-B12,241121_Smp_UCYNA_Z-12,Z-12,filter blank,C,minus_B12,Day,NA,NA,NA,NA,NA,468,2.989706579199695e-4,1.195882631679878e-7,NA,NA,Flag,Flag
CN-B12,241121_Smp_UCYNA_Z-13,Z-13,filter blank,A,minus_B12,Night,NA,NA,NA,NA,NA,45,2.8747178646150913e-5,1.1498871458460366e-8,NA,NA,Flag,Flag
CN-B12,241121_Smp_UCYNA_Z-17,Z-17,filter blank,B,NA,NA,NA,NA,NA,NA,NA,19,1.2137697650597053e-5,4.855079060238821e-9,NA,NA,Flag,Flag
CN-B12,241121_Smp_UCYNA_Z-19,Z-19,culture,A,plus_B12,Day,Culture,3660000,175,640500000,6.405e-7,99270,0.06341627609340891,2.5366510437363564e-5,6.930740556656712e-12,39.60423175232406,NA,NA
CN-B12,241121_Smp_UCYNA_Z-20,Z-20,culture,B,plus_B12,Day,Culture,3620000,175,633500000,6.335e-7,96728,0.06179237991299746,2.4716951965198983e-5,6.827887283204139e-12,39.01649876116651,NA,NA
CN-B12,241121_Smp_UCYNA_Z-21,Z-21,culture,C,plus_B12,Day,Culture,4040000,175,707000000,7.07e-7,1119,7.148465090009527e-4,2.859386036003811e-7,7.077688207930225e-14,0.40443932616744144,Flag,Flag
CN-B12,241121_Smp_UCYNA_Z-22,Z-22,culture,A,plus_B12,Night,Culture,2840000,175,497000000,4.97e-7,161505,0.10317362416103562,4.1269449664414245e-5,1.453149636070924e-11,83.03712206119567,NA,NA
CN-B12,241121_Smp_UCYNA_Z-23,Z-23,culture,B,plus_B12,Night,Culture,2740000,175,479500000,4.795e-7,145138,0.09271795587433448,3.7087182349733795e-5,1.353546801085175e-11,77.34553149058142,NA,NA
CN-B12,241121_Smp_UCYNA_Z-24,Z-24,culture,C,plus_B12,Night,Culture,3120000,175,546000000,5.46e-7,142392,0.09096373915072711,3.6385495660290845e-5,1.166201783983681e-11,66.64010194192461,NA,NA
CN-B12,241121_Smp_UCYNA_Z-25,Z-25,UCYN-A,A,plus_B12,Day,UCYN-A,8474000,15,127110000,1.2711e-7,357,2.280609505927972e-4,9.122438023711888e-8,1.0765208902185376e-14,0.717680593479025,Flag,Flag
CN-B12,241121_Smp_UCYNA_Z-26,Z-26,UCYN-A,B,plus_B12,Day,UCYN-A,17385000,15,260775000,2.60775e-7,5,3.1941309606834346e-6,1.2776523842733737e-9,7.34916528198662e-17,0.004899443521324412,Flag,Flag
CN-B12,241121_Smp_UCYNA_Z-27,Z-27,UCYN-A,C,plus_B12,Day,UCYN-A,9063000,15,135945000,1.35945e-7,0,0,0,0,0,Flag,Flag
CN-B12,241121_Smp_UCYNA_Z-28,Z-28,UCYN-A,A,plus_B12,Night,UCYN-A,15513500,15,232702500,2.327025e-7,24,1.5331828611280487e-5,6.132731444512195e-9,3.9531578589694106e-16,0.026354385726462735,Flag,Flag
CN-B12,241121_Smp_UCYNA_Z-29,Z-29,UCYN-A,B,plus_B12,Night,UCYN-A,14706000,15,220590000,2.2059e-7,740,4.727313821811483e-4,1.8909255287245932e-7,1.2858190729801395e-14,0.857212715320093,Flag,Flag
CN-B12,241121_Smp_UCYNA_Z-30,Z-30,UCYN-A,C,plus_B12,Night,UCYN-A,16444500,15,246667500,2.466675e-7,893,5.704717895780615e-4,2.281887158312246e-7,1.3876293948203022e-14,0.9250862632135347,Flag,Flag
CN-B12,241121_Smp_UCYNA_Z-31,Z-31,culture,A,minus_B12,Day,Culture,855000,175,149625000,1.49625e-7,3156,0.00201613546238338,8.06454184953352e-7,9.432212689512888e-13,5.389835822578793,Flag,Flag
CN-B12,241121_Smp_UCYNA_Z-32,Z-32,culture,B,minus_B12,Day,Culture,945000,175,165375000,1.65375e-7,2364,0.00151018511821112,6.04074047284448e-7,6.392317960681989e-13,3.652753120389708,Flag,Flag
CN-B12,241121_Smp_UCYNA_Z-33,Z-33,culture,C,minus_B12,Day,Culture,960000,175,168000000,1.68e-7,2097,0.00133961852491063,5.358474099642521e-7,5.581743853794292e-13,3.1895679164538815,Flag,Flag
CN-B12,241121_Smp_UCYNA_Z-34,Z-34,culture,A,minus_B12,Night,Culture,690000,175,120750000,1.2075e-7,2955,0.0018877313977639,7.550925591055601e-7,1.0943370421819712e-12,6.253354526754121,Flag,Flag
CN-B12,241121_Smp_UCYNA_Z-35,Z-35,culture,B,minus_B12,Night,Culture,780000,175,136500000,1.365e-7,115,7.3465012095719e-5,2.93860048382876e-8,3.7674365177291795e-14,0.21528208672738167,Flag,Flag
CN-B12,241121_Smp_UCYNA_Z-36,Z-36,culture,C,minus_B12,Night,Culture,855000,175,149625000,1.49625e-7,1241,7.927833044416285e-4,3.1711332177665143e-7,3.7089277400777947e-13,2.119387280044454,Flag,Flag
CN-B12,241121_Smp_UCYNA_Z-37,Z-37,UCYN-A,A,minus_B12,Day,UCYN-A,8863500,15,132952500,1.329525e-7,19,1.2137697650597053e-5,4.855079060238821e-9,5.477609364516073e-16,0.036517395763440486,Flag,Flag
CN-B12,241121_Smp_UCYNA_Z-38,Z-38,UCYN-A,B,minus_B12,Day,UCYN-A,12958000,15,194370000,1.9437e-7,37,2.3636569109057415e-5,9.454627643622966e-9,7.296363361338914e-16,0.04864242240892609,Flag,Flag
CN-B12,241121_Smp_UCYNA_Z-39,Z-39,UCYN-A,C,minus_B12,Day,UCYN-A,9395500,15,140932500,1.409325e-7,82,5.238374775520833e-5,2.095349910208333e-8,2.2301632805154947e-15,0.14867755203436633,Flag,Flag
CN-B12,241121_Smp_UCYNA_Z-40,Z-40,UCYN-A,A,minus_B12,Night,UCYN-A,12407000,15,186105000,1.86105e-7,838,5.353363490105436e-4,2.1413453960421745e-7,1.7259171403580032e-14,1.1506114269053354,Flag,Flag
CN-B12,241121_Smp_UCYNA_Z-41,Z-41,UCYN-A,B,minus_B12,Night,UCYN-A,9690000,15,145350000,1.4535e-7,14,8.9435666899136165e-06,3.5774266759654466e-9,3.691874794597984e-16,0.02461249863065323,Flag,Flag
